Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category,EPC Rating,Council Tax,Key Features,Property Rent/Sale History,Base Price,New Price
"Bristol, City of",7/1/2022,899,Community Centre/Facilities,Sturminster Road Community Centre And Car Park,Sturminster Road Community Centre And Car Park Sturminster Road Stockwood Bristol BS14 8AU,,Sturminster Road,Bristol,BS14 8AU,Stockwood,361587.0,169084.0,Freehold,,Land and Building(s),624.9,0.178328,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2012, 2016, 2021, 2022, 2025",291200.0,
"Bristol, City of",7/1/2022,909,Land-Housing Non-Council Development,Elm Hays,Elm Hays - Land At Bedminster Down Bristol BS13 8DD,,,,BS13 8DD,Bishopsworth,356661.0,168921.0,Freehold Reversion,,Land only,,0.757383,,Indirect Service / Non-Investment Letting(s),,,,"2011, 2012, 2016, 2019, 2021, 2025",,
"Bristol, City of",7/1/2022,912,House Service Occupancy,St Peters CE VC Primary School House,St Peters CE VC Primary School House Ellfield Close Bishopsworth Bristol BS13 8EF,,Ellfield Close,Bristol,BS13 8EF,Bishopsworth,356844.0,168745.0,Freehold,,Land and Building(s),85.3,0.041852,Yes,Direct Service,G,2200.0,,"2012, 2016, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,919,Community Centre/Facilities,Headley Park Community Centre,Headley Park Community Centre Headley Lane Headley Park Bristol BS13 7NW,,Headley Park Avenue,Bristol,BS13 7NW,Bishopsworth,357634.0,168949.0,Freehold,,Land and Building(s),396.8,0.102831,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2012, 2016, 2018, 2021, 2023, 2025",291200.0,
"Bristol, City of",7/1/2022,920,Primary School,Headley Park Primary School,Headley Park Primary School Headley Lane Headley Park Bristol BS13 7QB,,Headley Lane,Bristol,BS13 7QB,Bishopsworth,357709.0,168949.0,Freehold,,Land and Building(s),2328.3,2.270429,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2016, 2019, 2021, 2022, 2024",631083.29,
"Bristol, City of",7/1/2022,921,House/Houses,Headley Park Primary School House,Headley Park Primary School House Headley Lane Headley Park Bristol BS13 7QB,,Headley Park Avenue,Bristol,BS13 7QB,Bishopsworth,357738.0,168990.0,Freehold,,Land and Building(s),89.0,0.040756,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2010, 2016, 2017, 2018, 2021",291200.0,
"Bristol, City of",7/1/2022,922,Scout/Guide Building Land,Headley Park Primary School - Scout Hut Land,Headley Park Primary School - Scout Hut Land Headley Lane Headley Park Bristol BS13 7QB,,Headley Park Avenue,Bristol,BS13 7QB,Bishopsworth,357735.0,169031.0,Freehold,,Land only,0.0,0.042841,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2012, 2016, 2020, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,570,Secondary School,The City Academy ,The City Academy  Russell Town Avenue  Moorfields Bristol  BS5 9JH,,Russell Town Avenue,Bristol,BS5 9JH,Easton,361105.0,173625.0,Freehold Reversion,,Land and Building(s),0.0,4.657278,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2011, 2014, 2015, 2016, 2017, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,573,Day Nursery,Easton Community Childrens Centre,Easton Community Childrens Centre Russell Town Avenue Moorfields Bristol BS5 9JF,,Russell Town Avenue,Bristol,BS5 9JF,Easton,361049.0,173684.0,Freehold,,Land and Building(s),0.0,0.159685,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2016, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,584,Offices,Redfield House,Redfield House Verrier Road Redfield Bristol BS5 9LH,,Verrier Road,Bristol,BS5 9LH,Easton,361403.0,173430.0,Freehold,,Land and Building(s),161.0,0.0195,Yes,Direct Service,B,1200.0,"Modern Kitchen, Meeting Rooms","2010, 2014, 2016, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,588,Primary School,Redfield Educate Together Primary Academy,Redfield Educate Together Primary Academy Avonvale Road Redfield Bristol BS5 9RH,,Avonvale Road,Bristol,BS5 9RH,Easton,361517.0,173342.0,Freehold Reversion,,Land and Building(s),,0.4129,,Indirect Service / Non-Investment Letting(s),,,,"2011, 2016, 2017, 2019, 2021, 2023",,
"Bristol, City of",7/1/2022,590,Library,St George Library,St George Library Church Road St George Bristol BS5 8AL,,Church Road,Bristol,BS5 8AL,St George West,362291.0,173650.0,Freehold,,Land and Building(s),335.8,0.228075,Yes,Direct Service,E,1800.0,,"2014, 2016, 2017, 2020, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,964,Childrens Homes,Lacey House,Lacey House 97 Lacey Road Stockwood Bristol BS14 8NB,97.0,Lacey Road,Bristol,BS14 8NB,Stockwood,362737.0,168730.0,Freehold,,Land and Building(s),211.0,0.1035,Yes,Direct Service,F,2000.0,,"2010, 2011, 2016, 2018, 2019, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,965,Scout/Guide Building Land,Harrington Road Scout Premises,Harrington Road Scout Premises Harrington Road Stockwood Bristol BS14 8JZ,,,,BS14 8JZ,Stockwood,362009.0,168602.0,Freehold,,Land only,,0.1506,,Indirect Service / Non-Investment Letting(s),,,,"2011, 2013, 2015, 2016, 2021, 2025",,
"Bristol, City of",7/1/2022,966,Library,Stockwood Library,Stockwood Library Stockwood Road Stockwood Bristol BS14 8PL,,Stockwood Road,Bristol,BS14 8PL,Stockwood,362048.0,168329.0,Freehold,,Land and Building(s),393.0,0.105935,Yes,Direct Service,G,2200.0,,"2013, 2016, 2018, 2019, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,1151,Primary School,Willow Park CE VC School - Playground No 1 And Amphitheatre,Willow Park CE VC School - Playground No 1 And Amphitheatre Upper Church Lane St Michaels Bristol BS2 8BE,,Park Lane,Bristol,BS2 8BE,Central,358481.0,173230.0,Freehold,,Land only,,0.155416,Yes,Direct Service,,,,"2010, 2012, 2016, 2017, 2018, 2019, 2021",,
"Bristol, City of",7/1/2022,1153,House Service Occupancy,Broomhill Junior Infants School House,Broomhill Junior Infants School House 217 Allison Road Brislington  Bristol BS4 4PA,217.0,Allison Road,Bristol,BS4 4PA,Brislington East,362619.0,171340.0,Freehold,,Land and Building(s),84.6,0.0186,Yes,Direct Service,F,2000.0,,"2010, 2013, 2014, 2016, 2021, 2023, 2025",291200.0,
"Bristol, City of",7/1/2022,1422,Land-Car/Lorry Park,Callington Road Public Car Park,Callington Road Public Car Park West Town Lane Brislington Bristol BS4 5BE,,West Town Lane,Bristol,BS4 5BE,Brislington West,362125.0,170473.0,Freehold,,Land only,,0.047508,Yes,Direct Service,,,,"2015, 2016, 2019, 2021, 2024",,
"Bristol, City of",7/1/2022,828,Library,Bishopsworth Library,Bishopsworth Library Bishopsworth Road Bishopsworth Bristol BS13 7LN,,Bishopsworth Road,Bristol,BS13 7LN,Bishopsworth,357200.0,169070.0,Freehold,,Land and Building(s),257.0,0.147363,Yes,Direct Service,E,1800.0,,"2011, 2016, 2017, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,829,Special School,Knowle DGE Special School,Knowle DGE Special School Leinster Avenue  Knowle  Bristol  BS4 1NN,,Leinster Avenue,Bristol,BS4 1NN,Filwood,358670.0,169718.0,Freehold,,Land and Building(s),4493.08,2.758369,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2014, 2016, 2017, 2020, 2021, 2022, 2025",1459885.57,
"Bristol, City of",7/1/2022,831,Nursery School,Knowle West Early Years Centre,Knowle West Early Years Centre Leinster Avenue Knowle Bristol BS4 1NN,,Leinster Avenue,Bristol,BS4 1NN,Filwood,358758.0,169742.0,Freehold,,Land and Building(s),2199.2,0.678423,Yes,Direct Service,E,1800.0,,"2011, 2014, 2016, 2020, 2021",623083.89,
"Bristol, City of",7/1/2022,133262,Primary School,St Pius X RC VA Primary School - Playing Field,St Pius X RC VA Primary School - Playing Field Gatehouse Avenue Withywood Bristol BS13 9AB,,Gatehouse Avenue,Bristol,BS13 9AB,Hartcliffe & Withywood,357100.0,168096.0,Freehold,,Land only,,0.7006,Yes,Direct Service,,,,"2013, 2016, 2018, 2021, 2022, 2023",,
"Bristol, City of",7/1/2022,847,Day Centre,Bristol Community Links South Day Centre,Bristol Community Links South Day Centre Langhill Avenue Knowle Bristol BS4 1TN,,Langhill Avenue,Bristol,BS4 1TN,Filwood,358474.0,169066.0,Freehold,,Land and Building(s),2766.15,0.4712,Yes,Direct Service,F,2000.0,,"2012, 2015, 2016, 2017, 2019, 2020, 2021",1322908.11,
"Bristol, City of",7/1/2022,851,House/Houses,Greenfield Primary School House,Greenfield Primary School House Novers Lane Knowle West Bristol BS4 1QW,,Novers Lane,Bristol,BS4 1QW,Filwood,358459.0,169319.0,Freehold,,Land and Building(s),89.8,0.04265,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2010, 2012, 2014, 2016, 2021, 2022, 2024",291200.0,
"Bristol, City of",7/1/2022,770,Library,Marksbury Road Library,Marksbury Road Library Marksbury Road Bedminster Bristol BS3 5LG,,Marksbury Road,Bristol,BS3 5LG,Windmill Hill,358227.0,170695.0,Freehold,,Land and Building(s),167.1,0.0821,Yes,Direct Service,E,1800.0,,"2010, 2016, 2018, 2021, 2022, 2023",291200.0,
"Bristol, City of",7/1/2022,771,Primary School,Parson Street Primary School,Parson Street Primary School Bedminster Road Bedminster Bristol BS3 5NR,,Bedminster Road,Bristol,BS3 5NR,Filwood,358025.0,170555.0,Freehold,,Land and Building(s),1811.0,0.756742,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2014, 2015, 2016, 2018, 2021",849458.35,
"Bristol, City of",7/1/2022,772,House/Houses,Parson Street School Caretakers House,Parson Street School Caretakers House 46 Parson Street Bedminster Bristol BS3 5QG,46.0,Parson Street,Bristol,BS3 5QG,Filwood,358004.0,170492.0,Freehold,,Land and Building(s),93.8,0.0392,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2012, 2013, 2016, 2018, 2019, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,774,Land-Hospital/Health Centre/Surgery,Knowle West Health Park,Knowle West Health Park Downton Road Knowle Bristol BS4 1WH,,Downton Road,Bristol,BS4 1WH,Filwood,358675.0,170105.0,Freehold,,Land only,0.0,4.408854,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2015, 2016, 2018, 2021",291200.0,
"Bristol, City of",7/1/2022,778,Community Centre/Facilities,Jubilee Hall,Jubilee Hall Wedmore Vale Bedminster Bristol BS3 5HX,,Wedmore Vale,Bristol,BS3 5HX,Windmill Hill,359256.0,170697.0,Freehold,,Land and Building(s),155.5,0.05215,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2016, 2017, 2018, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,136553,Land/Bldgs held for Developement,Lockleaze Police Station And Car Park,Lockleaze Police Station And Car Park Gainsborough Square Lockleaze Bristol BS7 9XA,30.0,Gainsborough Square,Bristol,BS7 9XA,Lockleaze,361075.0,177003.0,Freehold,,Land and Building(s),,0.158457,,Indirect Service / Non-Investment Letting(s),,,,"2016, 2017, 2021, 2025",,
"Bristol, City of",7/1/2022,793,Primary School,Knowle Park Primary School,Knowle Park Primary School Queenshill Road Knowle Bristol BS4 2XG,,Queenshill Road,Bristol,BS4 2XG,Knowle,360228.0,170458.0,Freehold,,Land and Building(s),4431.0,0.948867,Yes,Direct Service,F,2000.0,,"2010, 2012, 2015, 2016, 2021, 2024, 2025",1405320.19,
"Bristol, City of",7/1/2022,795,House/Houses,Knowle Park Primary School House,Knowle Park Primary School House 70 Queenshill Road Knowle Bristol BS4 2XQ,70.0,Queenshill Road,Bristol,BS4 2XQ,Knowle,360204.0,170403.0,Freehold,,Land and Building(s),88.3,0.047336,Yes,Direct Service,E,1800.0,,"2012, 2016, 2019, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,797,Community Centre/Facilities,Knowle Community Centre,Knowle Community Centre Crossways Road Knowle Bristol BS4 2SS,,Crossways Road,Bristol,BS4 2SS,Knowle,360388.0,170425.0,Freehold,,Land and Building(s),399.0,0.200971,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2010, 2011, 2016, 2021",291200.0,
"Bristol, City of",7/1/2022,925,Offices,Redhouse Office,Redhouse Office Heggard Close Withywood Bristol BS13 7SE,,,,BS13 7SE,Hartcliffe & Withywood,357206.0,168301.0,Freehold,,Land and Building(s),1278.0,0.737954,,Indirect Service / Non-Investment Letting(s),A,1000.0,"Private Parking, Modern Kitchen","2016, 2017, 2018, 2021, 2024, 2025",617807.33,
"Bristol, City of",7/1/2022,929,Primary School,Fair Furlong Primary School,Fair Furlong Primary School Vowell Close Bishopsworth Bristol BS13 9HX,,Vowell Close,Bristol,BS13 9HS,Hartcliffe & Withywood,357565.0,167809.0,Freehold,,Land and Building(s),2772.98,1.964659,Yes,Direct Service,E,1800.0,,"2010, 2015, 2016, 2019, 2021, 2023",585041.01,
"Bristol, City of",7/1/2022,128262,Secondary School,Merchants Academy,Merchants Academy Molesworth Drive Withywood Bristol BS13 9BL,,Gatehouse Avenue,Bristol,BS13 9AJ,Hartcliffe & Withywood,357487.0,168056.0,Freehold Reversion,,Land and Building(s),,9.704028,,Indirect Service / Non-Investment Letting(s),,,,"2011, 2013, 2016, 2020, 2021, 2022, 2024",,
"Bristol, City of",7/1/2022,932,Day Centre,23 Vowell Close,23 Vowell Close Bishopsworth Bristol BS13 9HS,23.0,Vowell Close,Bristol,BS13 9HS,Hartcliffe & Withywood,357648.0,167739.0,Freehold,,Land and Building(s),225.7,0.221053,Yes,Direct Service,F,2000.0,,"2015, 2016, 2021, 2023, 2025",291200.0,
"Bristol, City of",7/1/2022,854,Community Centre/Facilities,Former Eagle House Youth Centre,Former Eagle House Youth Centre Newquay Road Knowle Bristol BS4 1EF,,,,BS4 1EF,Filwood,359834.0,169680.0,Freehold,,Land and Building(s),356.0,0.448884,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2011, 2015, 2016, 2018, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,855,Library,Filwood Library,Filwood Library Filwood Broadway Filwood Bristol BS4 1JN,,Filwood Broadway,Bristol,BS4 1JN,Filwood,359346.0,169690.0,Freehold,,Land and Building(s),311.0,0.072459,Yes,Direct Service,G,2200.0,,"2012, 2016, 2019, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,856,Community Centre/Facilities,Filwood Community Centre,Filwood Community Centre Barnstaple Road Knowle Bristol BS4 1JP,,Barnstaple Road,Bristol,BS4 1JP,Filwood,359329.0,169796.0,Freehold,,Land and Building(s),1436.4,0.472061,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2010, 2014, 2016, 2021, 2025",593713.52,
"Bristol, City of",7/1/2022,859,Primary School,School Of Christ The King RC VA,School Of Christ The King RC VA Hartcliffe Road Filwood  Bristol BS4 1HD,,Hartcliffe Road,Bristol,BS4 1HD,Filwood,359300.0,169580.0,Education Acts Agt,,Land and Building(s),1381.06,0.619957,Yes,Direct Service,E,1800.0,,"2011, 2016, 2017, 2021, 2022",348992.78,
"Bristol, City of",7/1/2022,864,House/Houses,Oasis Academy Connaught School House,Oasis Academy Connaught School House 1 Leinster Avenue Knowle Bristol BS4 1NH,1.0,Leinster Avenue,Bristol,BS4 1NH,Filwood,359265.0,170021.0,Freehold Reversion,,Land and Building(s),87.4,0.032747,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2010, 2015, 2016, 2021",291200.0,
"Bristol, City of",7/1/2022,871,Primary School,Ilminster Avenue E-Act Primary Academy,Ilminster Avenue E-Act Primary Academy Ilminster Avenue Knowle Bristol BS4 1BX,,Ilminster Avenue,Bristol,BS4 1BX,Knowle,360064.0,169888.0,Freehold Reversion,,Land and Building(s),1780.7,1.401163,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2011, 2016, 2018, 2021, 2023",640973.95,
"Bristol, City of",7/1/2022,120951,Childrens Centre,Hillfields Childrens Centre,Hillfields Childrens Centre Minerva Primary Academy The Greenway Hillfields Park Bristol BS16 4HA,,The Greenway,Bristol,BS16 4HA,Hillfields,364272.0,175000.0,User Rights,,Building(s) only,291.3,0.010604,Yes,Direct Service,E,1800.0,,"2011, 2014, 2016, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,877,House Service Occupancy,Ilminster Avenue Specialist Nursery School And Children's Centre Caretaker's  House,Ilminster Avenue Specialist Nursery School And Children's Centre Caretaker's  House 154 Ilminster Avenue Knowle Bristol BS4 1BX,154.0,Ilminster Avenue,Bristol,BS4 1BX,Knowle,360012.0,169874.0,Freehold,,Land and Building(s),83.2,,Yes,Direct Service,G,2200.0,,"2011, 2012, 2013, 2016, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,879,Secondary School,Oasis Academy John Williams,Oasis Academy John Williams Petherton Road Hengrove Bristol BS14 9BU,,,,BS14 9BU,Hengrove & Whitchurch Park,360711.0,169122.0,Freehold,,Land and Building(s),0.0,17.153381,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2010, 2016, 2017, 2018, 2021, 2023, 2025",291200.0,
"Bristol, City of",7/1/2022,880,Primary School,Oasis Academy New Oak,Oasis Academy New Oak Walsh Avenue Hengrove  Bristol  BS14 9SN,,Walsh Avenue,Bristol,BS14 9SN,Hengrove & Whitchurch Park,360478.0,169236.0,Freehold Reversion,,Land and Building(s),2272.7,3.277761,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2013, 2015, 2016, 2021, 2022, 2024",1037043.01,
"Bristol, City of",7/1/2022,882,Childrens Homes,Bush Residential Respite Centre,Bush Residential Respite Centre 12A New Fosseway Road Hengrove Bristol BS14 9XA,,,,BS14 9XA,Hengrove & Whitchurch Park,360958.0,168917.0,Freehold,,Land and Building(s),614.6,0.290572,Yes,Direct Service,E,1800.0,,"2012, 2016, 2018, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,886,House/Houses,Oasis Academy John Williams School House,Oasis Academy John Williams School House 70 Petherton Gardens Hengrove Bristol BS14 9BU,,,,BS14 9BU,Hengrove & Whitchurch Park,360700.0,169137.0,Freehold Reversion,,Land and Building(s),0.0,0.048374,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2010, 2013, 2014, 2016, 2021",291200.0,
"Bristol, City of",7/1/2022,820,Land-Playingfield/Playground/Sports,May And Hassell Playing Field,May And Hassell Playing Field Bedminster Down School Highridge Walk Highridge Bristol,,Highridge Walk,Bristol,BS13 8BA,Bishopsworth,356366.0,169050.0,Freehold,,Land only,,2.432454,,Indirect Service / Non-Investment Letting(s),,,,"2011, 2012, 2016, 2019, 2021",,
"Bristol, City of",7/1/2022,822,Primary School,Cheddar Grove Primary School,Cheddar Grove Primary School Cheddar Grove Bedminster Down Bristol BS13 7EN,,Cheddar Grove,Bristol,BS13 7EN,Bishopsworth,357270.0,169654.0,Freehold,,Land and Building(s),2172.0,2.083551,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2010, 2013, 2016, 2020, 2021, 2024, 2025",802475.16,
"Bristol, City of",7/1/2022,377,Secondary School,Charnwood Annexe,Charnwood Annexe 30 Cotham Park Cotham Bristol BS6 6BU,30.0,Cotham Park,Bristol,BS6 6BU,Cotham,358420.0,174193.0,Freehold Reversion,,Land and Building(s),0.0,0.3144,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2013, 2016, 2021, 2022, 2025",291200.0,
"Bristol, City of",7/1/2022,388,Primary School,St Barnabas CE VC School,St Barnabas CE VC School Albany Road Montpelier Bristol BS6 5LQ,,Albany Road,Bristol,BS6 5LQ,Ashley,359703.0,174398.0,Mixed Title,,Land and Building(s),1281.8,1.002178,Yes,Direct Service,G,2200.0,,"2013, 2016, 2017, 2019, 2021, 2022, 2024",464854.56,
"Bristol, City of",7/1/2022,400,Primary School,St Werburghs Primary School Academy,St Werburghs Primary School Academy James Street St Werburghs Bristol BS2 9UH,,James Street,Bristol,BS2 9US,Ashley,360353.0,174781.0,Freehold Reversion,,Land and Building(s),1293.93,0.729217,Yes,Direct Service,E,1800.0,,"2014, 2016, 2020, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,401,Nursery School,St Werburghs Park Nursery School,St Werburghs Park Nursery School Glenfrome Road St Werburghs Bristol BS2 9UX,,Glenfrome Road,Bristol,BS2 9UX,Ashley,360337.0,174834.0,Freehold,,Land and Building(s),1006.0,0.264817,Yes,Direct Service,G,2200.0,,"2014, 2016, 2017, 2021",291200.0,
"Bristol, City of",7/1/2022,406,Community Centre/Facilities,St Werburghs Community Centre,St Werburghs Community Centre Horley Road St Werburghs Bristol BS2 9TJ,,Horley Road,Bristol,BS2 9TJ,Ashley,360370.0,174504.0,Freehold,,Land and Building(s),900.0,0.1591,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2010, 2012, 2013, 2016, 2021",291200.0,
"Bristol, City of",7/1/2022,315,House Service Occupancy,Sefton Park Junior/Infant School House,Sefton Park Junior/Infant School House St Bartholomews Road Ashley Down Bristol BS7 9BJ,,St Bartholomews Road,Bristol,BS7 9BJ,Ashley,359632.0,175271.0,Freehold,,Land and Building(s),86.0,0.009015,Yes,Direct Service,E,1800.0,,"2012, 2015, 2016, 2019, 2021, 2022, 2024",291200.0,
